schemaname,tablename,indexname,indexdef
migration,load_rejections,load_rejections_pkey,CREATE UNIQUE INDEX load_rejections_pkey ON migration.load_rejections USING btree (id)
migration,market_center_notes,idx_market_center_notes_market_center,CREATE INDEX idx_market_center_notes_market_center ON migration.market_center_notes USING btree (market_center_id)
migration,market_center_notes,market_center_notes_pkey,CREATE UNIQUE INDEX market_center_notes_pkey ON migration.market_center_notes USING btree (id)
migration,market_centers_prepared,market_centers_prepared_pkey,CREATE UNIQUE INDEX market_centers_prepared_pkey ON migration.market_centers_prepared USING btree (source_market_center_id)
migration,outside_agency_contacts,idx_outside_agency_tx,CREATE INDEX idx_outside_agency_tx ON migration.outside_agency_contacts USING btree (transaction_id)
migration,outside_agency_contacts,outside_agency_contacts_pkey,CREATE UNIQUE INDEX outside_agency_contacts_pkey ON migration.outside_agency_contacts USING btree (id)
migration,teams_prepared,teams_prepared_pkey,CREATE UNIQUE INDEX teams_prepared_pkey ON migration.teams_prepared USING btree (source_team_id)
migration,transaction_agent_calculations,idx_tx_calc_associate_id,CREATE INDEX idx_tx_calc_associate_id ON migration.transaction_agent_calculations USING btree (associate_id)
migration,transaction_agent_calculations,idx_tx_calc_office,CREATE INDEX idx_tx_calc_office ON migration.transaction_agent_calculations USING btree (office_name)
migration,transaction_agent_calculations,idx_tx_calc_registered,CREATE INDEX idx_tx_calc_registered ON migration.transaction_agent_calculations USING btree (is_registered)
migration,transaction_agent_calculations,idx_tx_calc_reporting_date,CREATE INDEX idx_tx_calc_reporting_date ON migration.transaction_agent_calculations USING btree (effective_reporting_date)
migration,transaction_agent_calculations,idx_tx_calc_transaction_id,CREATE INDEX idx_tx_calc_transaction_id ON migration.transaction_agent_calculations USING btree (transaction_id)
migration,transaction_agent_calculations,transaction_agent_calculations_pkey,CREATE UNIQUE INDEX transaction_agent_calculations_pkey ON migration.transaction_agent_calculations USING btree (id)
migration,transaction_agent_calculations,transaction_agent_calculations_transaction_agent_id_key,CREATE UNIQUE INDEX transaction_agent_calculations_transaction_agent_id_key ON migration.transaction_agent_calculations USING btree (transaction_agent_id)
migration,transaction_agents,idx_transaction_agents_associate,CREATE INDEX idx_transaction_agents_associate ON migration.transaction_agents USING btree (associate_id)
migration,transaction_agents,idx_transaction_agents_transaction,CREATE INDEX idx_transaction_agents_transaction ON migration.transaction_agents USING btree (transaction_id)
migration,transaction_agents,transaction_agents_pkey,CREATE UNIQUE INDEX transaction_agents_pkey ON migration.transaction_agents USING btree (id)
migration,transaction_agents,transaction_agents_transaction_id_source_associate_id_key,"CREATE UNIQUE INDEX transaction_agents_transaction_id_source_associate_id_key ON migration.transaction_agents USING btree (transaction_id, source_associate_id)"
migration,transactions_prepared,transactions_prepared_pkey,"CREATE UNIQUE INDEX transactions_prepared_pkey ON migration.transactions_prepared USING btree (source_transaction_id, source_associate_id)"
public,Associate,Associate_email_key,"CREATE UNIQUE INDEX ""Associate_email_key"" ON public.""Associate"" USING btree (email)"
public,Associate,Associate_pkey,"CREATE UNIQUE INDEX ""Associate_pkey"" ON public.""Associate"" USING btree (id)"
public,IdCounter,IdCounter_pkey,"CREATE UNIQUE INDEX ""IdCounter_pkey"" ON public.""IdCounter"" USING btree (id)"
public,Listing,Listing_pkey,"CREATE UNIQUE INDEX ""Listing_pkey"" ON public.""Listing"" USING btree (id)"
public,ListingImage,ListingImage_pkey,"CREATE UNIQUE INDEX ""ListingImage_pkey"" ON public.""ListingImage"" USING btree (id)"
public,MarketCentre,MarketCentre_pkey,"CREATE UNIQUE INDEX ""MarketCentre_pkey"" ON public.""MarketCentre"" USING btree (id)"
public,RentalPayment,RentalPayment_pkey,"CREATE UNIQUE INDEX ""RentalPayment_pkey"" ON public.""RentalPayment"" USING btree (id)"
public,RentalTransaction,RentalTransaction_listingId_key,"CREATE UNIQUE INDEX ""RentalTransaction_listingId_key"" ON public.""RentalTransaction"" USING btree (""listingId"")"
public,RentalTransaction,RentalTransaction_pkey,"CREATE UNIQUE INDEX ""RentalTransaction_pkey"" ON public.""RentalTransaction"" USING btree (id)"
public,Report,Report_pkey,"CREATE UNIQUE INDEX ""Report_pkey"" ON public.""Report"" USING btree (id)"
public,SaleTransaction,SaleTransaction_listingId_key,"CREATE UNIQUE INDEX ""SaleTransaction_listingId_key"" ON public.""SaleTransaction"" USING btree (""listingId"")"
public,SaleTransaction,SaleTransaction_pkey,"CREATE UNIQUE INDEX ""SaleTransaction_pkey"" ON public.""SaleTransaction"" USING btree (id)"
public,app_users,app_users_email_key,CREATE UNIQUE INDEX app_users_email_key ON public.app_users USING btree (email)
public,app_users,app_users_google_id_key,CREATE UNIQUE INDEX app_users_google_id_key ON public.app_users USING btree (google_id)
public,app_users,app_users_pkey,CREATE UNIQUE INDEX app_users_pkey ON public.app_users USING btree (id)
staging,associates_raw,associates_raw_pkey,CREATE UNIQUE INDEX associates_raw_pkey ON staging.associates_raw USING btree (id)
staging,associates_raw,idx_associates_raw_batch,CREATE INDEX idx_associates_raw_batch ON staging.associates_raw USING btree (batch_id)
staging,associates_raw,idx_associates_raw_source,CREATE INDEX idx_associates_raw_source ON staging.associates_raw USING btree (source_associate_id)
staging,listings_raw,idx_listings_raw_batch,CREATE INDEX idx_listings_raw_batch ON staging.listings_raw USING btree (batch_id)
staging,listings_raw,idx_listings_raw_source,CREATE INDEX idx_listings_raw_source ON staging.listings_raw USING btree (source_listing_id)
staging,listings_raw,listings_raw_pkey,CREATE UNIQUE INDEX listings_raw_pkey ON staging.listings_raw USING btree (id)
staging,market_centers_raw,idx_market_centers_raw_batch,CREATE INDEX idx_market_centers_raw_batch ON staging.market_centers_raw USING btree (batch_id)
staging,market_centers_raw,idx_market_centers_raw_source,CREATE INDEX idx_market_centers_raw_source ON staging.market_centers_raw USING btree (source_market_center_id)
staging,market_centers_raw,market_centers_raw_pkey,CREATE UNIQUE INDEX market_centers_raw_pkey ON staging.market_centers_raw USING btree (id)
staging,teams_raw,idx_teams_raw_batch,CREATE INDEX idx_teams_raw_batch ON staging.teams_raw USING btree (batch_id)
staging,teams_raw,idx_teams_raw_mc,CREATE INDEX idx_teams_raw_mc ON staging.teams_raw USING btree (source_market_center_id)
staging,teams_raw,idx_teams_raw_source,CREATE INDEX idx_teams_raw_source ON staging.teams_raw USING btree (source_team_id)
staging,teams_raw,teams_raw_pkey,CREATE UNIQUE INDEX teams_raw_pkey ON staging.teams_raw USING btree (id)
staging,transaction_agents,idx_staging_transaction_agents_associate,CREATE INDEX idx_staging_transaction_agents_associate ON staging.transaction_agents USING btree (source_associate_id)
staging,transaction_agents,idx_staging_transaction_agents_tx,CREATE INDEX idx_staging_transaction_agents_tx ON staging.transaction_agents USING btree (transaction_id)
staging,transaction_agents,transaction_agents_pkey,CREATE UNIQUE INDEX transaction_agents_pkey ON staging.transaction_agents USING btree (id)
staging,transactions_raw,idx_transactions_raw_associate,CREATE INDEX idx_transactions_raw_associate ON staging.transactions_raw USING btree (source_associate_id)
staging,transactions_raw,idx_transactions_raw_batch,CREATE INDEX idx_transactions_raw_batch ON staging.transactions_raw USING btree (batch_id)
staging,transactions_raw,idx_transactions_raw_mc,CREATE INDEX idx_transactions_raw_mc ON staging.transactions_raw USING btree (source_market_center_id)
staging,transactions_raw,idx_transactions_raw_source,CREATE INDEX idx_transactions_raw_source ON staging.transactions_raw USING btree (source_transaction_id)
staging,transactions_raw,transactions_raw_pkey,CREATE UNIQUE INDEX transactions_raw_pkey ON staging.transactions_raw USING btree (id)
