schemaname,tablename,indexname,indexdef
migration,core_transactions,core_transactions_pkey,CREATE UNIQUE INDEX core_transactions_pkey ON migration.core_transactions USING btree (id)
migration,core_transactions,core_transactions_source_transaction_id_key,CREATE UNIQUE INDEX core_transactions_source_transaction_id_key ON migration.core_transactions USING btree (source_transaction_id)
migration,core_transactions,idx_core_transactions_date,CREATE INDEX idx_core_transactions_date ON migration.core_transactions USING btree (transaction_date)
migration,core_transactions,idx_core_transactions_status,CREATE INDEX idx_core_transactions_status ON migration.core_transactions USING btree (transaction_status)
migration,id_map_associates,id_map_associates_pkey,CREATE UNIQUE INDEX id_map_associates_pkey ON migration.id_map_associates USING btree (source_associate_id)
migration,id_map_legacy_associates,id_map_legacy_associates_pkey,CREATE UNIQUE INDEX id_map_legacy_associates_pkey ON migration.id_map_legacy_associates USING btree (source_associate_id)
migration,id_map_legacy_listings,id_map_legacy_listings_pkey,CREATE UNIQUE INDEX id_map_legacy_listings_pkey ON migration.id_map_legacy_listings USING btree (source_listing_id)
migration,id_map_legacy_market_centers,id_map_legacy_market_centers_pkey,CREATE UNIQUE INDEX id_map_legacy_market_centers_pkey ON migration.id_map_legacy_market_centers USING btree (source_market_center_id)
migration,id_map_listings,id_map_listings_pkey,CREATE UNIQUE INDEX id_map_listings_pkey ON migration.id_map_listings USING btree (source_listing_id)
migration,id_map_market_centers,id_map_market_centers_pkey,CREATE UNIQUE INDEX id_map_market_centers_pkey ON migration.id_map_market_centers USING btree (source_market_center_id)
migration,id_map_teams,id_map_teams_pkey,CREATE UNIQUE INDEX id_map_teams_pkey ON migration.id_map_teams USING btree (source_team_id)
migration,in_app_notifications,idx_in_app_notifications_associate,"CREATE INDEX idx_in_app_notifications_associate ON migration.in_app_notifications USING btree (associate_id, created_at DESC)"
migration,in_app_notifications,idx_in_app_notifications_category,CREATE INDEX idx_in_app_notifications_category ON migration.in_app_notifications USING btree (category)
migration,in_app_notifications,in_app_notifications_pkey,CREATE UNIQUE INDEX in_app_notifications_pkey ON migration.in_app_notifications USING btree (id)
migration,listing_agents,idx_listing_agents_associate,CREATE INDEX idx_listing_agents_associate ON migration.listing_agents USING btree (associate_id)
migration,listing_agents,idx_listing_agents_listing,CREATE INDEX idx_listing_agents_listing ON migration.listing_agents USING btree (listing_id)
migration,listing_agents,idx_listing_agents_name_trgm,CREATE INDEX idx_listing_agents_name_trgm ON migration.listing_agents USING gin (agent_name gin_trgm_ops)
migration,listing_agents,idx_listing_agents_primary_lookup,"CREATE INDEX idx_listing_agents_primary_lookup ON migration.listing_agents USING btree (listing_id, is_primary DESC, sort_order, id)"
migration,listing_agents,listing_agents_pkey,CREATE UNIQUE INDEX listing_agents_pkey ON migration.listing_agents USING btree (id)
migration,listing_approval_requests,idx_listing_approval_requests_listing,CREATE INDEX idx_listing_approval_requests_listing ON migration.listing_approval_requests USING btree (listing_id)
migration,listing_approval_requests,idx_listing_approval_requests_status,CREATE INDEX idx_listing_approval_requests_status ON migration.listing_approval_requests USING btree (status)
migration,listing_approval_requests,listing_approval_requests_listing_id_key,CREATE UNIQUE INDEX listing_approval_requests_listing_id_key ON migration.listing_approval_requests USING btree (listing_id)
migration,listing_approval_requests,listing_approval_requests_pkey,CREATE UNIQUE INDEX listing_approval_requests_pkey ON migration.listing_approval_requests USING btree (id)
