"source_associate_id","kwuid","growth_share_sponsor_source_id","proposed_growth_share_sponsor","temporary_growth_share_sponsor","vested","vesting_start_period","listing_approval_required","exclude_from_individual_reports","source_market_center_id","source_team_id"
"171","404968","709","","false","false","2015-06-01T00:00:00","false","false","60",""
"172","403920","75","","false","true","2015-06-02T00:00:00","true","false","27",""
"173","403938","116","","false","true","2015-06-02T00:00:00","false","false","28",""
"174","404554","179","","false","false","2015-06-02T00:00:00","false","false","47",""
"175","404557","709","","false","false","2015-06-01T00:00:00","false","false","45",""
"176","404197","155","","false","true","2015-06-01T00:00:00","true","false","37",""
"177","404589","832","","false","true","2017-04-01T00:00:00","true","false","58",""
"178","404587","99","","false","true","2015-06-01T00:00:00","true","false","56",""
"179","404199","841","","false","false","2015-07-01T00:00:00","false","false","47",""
"180","404583","99","","false","true","2015-06-04T00:00:00","true","false","58",""
"181","404581","832","","false","true","2015-06-04T00:00:00","true","false","58",""
"182","404786","716","","false","true","2018-03-16T00:00:00","true","false","57",""
"183","404978","151","","false","true","2015-06-01T00:00:00","true","false","54","62"
"184","405137","723","","false","true","2018-03-20T00:00:00","true","false","59",""
"185","404558","716","","false","false","2015-06-01T00:00:00","false","false","184",""
"186","404963","701","","false","true","2015-06-01T00:00:00","true","false","57",""
"187","412277","1678","","false","false","2015-08-01T00:00:00","true","false","47",""
"188","412268","102","","false","true","2018-04-23T00:00:00","true","false","40",""
"189","405271","","","false","true","2015-06-08T00:00:00","true","false","28",""
"190","405595","93","","false","true","2015-06-12T00:00:00","true","false","43",""
"191","406438","32","","false","true","2015-06-17T00:00:00","false","false","31","52"
"192","406909","38","","false","false","2015-06-08T00:00:00","true","false","184","186"
"193","408658","663","","false","true","2015-07-01T00:00:00","true","false","43",""
"194","406440","93","","false","false","2015-06-15T00:00:00","false","false","43",""
"195","407959","706","","false","false","2015-07-01T00:00:00","false","false","50",""
"196","408212","698","","false","false","2015-07-01T00:00:00","false","false","234",""
"197","408211","698","","false","false","2015-07-01T00:00:00","false","false","234",""
"198","407240","111","","false","true","2018-11-15T00:00:00","true","false","33",""
"199","407235","141","","false","true","2015-06-01T00:00:00","true","false","56",""
"200","407590","788","","false","false","2015-06-01T00:00:00","true","false","26",""
"201","407961","185","","false","false","2015-07-01T00:00:00","true","false","45",""
