"source_listing_id","url","marketing_url_type_id"
"189694","BjEGHwVAvqg","1"
"189696","https://youtu.be/qPGJRSaBz4w","1"
"189697","WIzuasTqe-0","1"
"189717","A_m86eUm0XU","1"
"189721","C-7v1WioWGw","1"
"189748","DscVX61QUsM","1"
"189749","qltUatVJ0_M","1"
"189750","maBML9-z7Ng","1"
"189793","K-qYNnsldCI","1"
"189815","l2ppwdrpSTI","1"
"189868","_OpxzNJ08aE","1"
"189873","olfS6i2HcQI","1"
"189914","OF-lKmaDVZY","1"
"189976","ksWRgzSgi7s","1"
"189985","v=VmTqQ8p09oA","1"
"189990","l0rlLP3JUsU","1"
"190028","inmrP21JrG4","1"
"190068","lbYEE8hhz-4","1"
"190173","8lMGHTDINUs","1"
"190176","rmAQnA9MxTQ","1"
"190190","mAPa0b8ZsbQ","1"
"190220","Cm5EbNf4XW4","1"
"190246","_GBdyY42YsM","1"
"190256","yaG7X0_qT_4","1"
"190287","https://youtu.be/bRnYANW6dSg","1"
"190318","EM-AvxDy4ho","1"
"190327","3gmurhMx2z8","1"
"190369","DYAFmqz8Awk","1"
"190473","9dnKb7Z7o6E","1"
"190483","3UotueXfEgQ","1"
"190515","42nxDvIEYSA","1"
"190516","G9UrThNMYak","1"
"190517","uXEsvf1pw5Y","1"
"190543","lFMBgHlrpuw","1"
"190557","xX62ejJNbIA","1"
"190577","/DF3aPv7lGB8","1"
"190578","Bm07oaU86nw","1"
"190594","UyrPovUDDNU","1"
"190638","c5fbl--rxug","1"
"190639","vpuf5Hl9YC0","1"
"190640","X8X81vi8Pkc","1"
"190650","_04AgwO2oBk","1"
"190675","PkfdWBPD8fE","1"
"190692","https://youtu.be/eH2MMZLPEaw","1"
"190699","LykCHV_6fAE","1"
"190712"," ","1"
"190751","fHIrb8KpBzU","1"
"190779","xH2tkKZ7cW8","1"
"190780","https://www.youtube.com/watch?v=tmQEPqPH13E","1"
"190805","gEfnq8KSkiU","1"
"190888","wETek65v6Oo","1"
"190916","48jd3UVJXCg","1"
"190919","sxvC9mdcZo0","1"
"190961","Hzdg6txt3fA","1"
"190976","zE3TF2U3wg0","1"
"191045","qPNZFRseGv0","1"
"191087","s9Jk-EzA9Qc","1"
"191105","JzKDXVKbUUg","1"
"191110","cEalv3_7GPw","1"
"191198","4HlXaFXVsr4","1"
"191284","WO4XrdQ5OSI","1"
"191378","KwPNGs62zhA","1"
"191395","52ujzHaXmUM","1"
"191413","2DYh_0j-bWk","1"
"191432","uZ3nYxIySjU","1"
"191488","https://youtu.be/Ru43fVdmQLg","1"
"191495","SozTNHNtQVg","1"
"191614","dKAZGKmxMY4","1"
"191634","O5i_QUclTSc","1"
"191666","bHLM2wP2cPk","1"
"191684","RzLQWIaNVQg","1"
"191698","ID23VmziF8o","1"
"191727","C9xeg7ltMiI","1"
"191729","Hzdg6txt3fA","1"
"191732","jh1hA4biG1M","1"
"191760","3QGOUGNVhNY","1"
"191771","RBrfINeVNhg","1"
"191773","L8NONmJfz78","1"
"191853","Da-xGwiK4DM","1"
"191871","jUviTSvf0mE","1"
"191919","NpX1VWuIYx8","1"
"191921","kRcB2z3Hos8","1"
"191975","https://youtu.be/zYKxS3Leh9s","1"
"191993","https://youtu.be/UonuxCqCMuI","1"
"192011","AtKp56FxHkA","1"
"192025","https://youtu.be/zYKxS3Leh9s","1"
"192036","Pt6HXLk3eDE","1"
"192041","9jXVTXcG7h0","1"
"192066","oNedEE8VWj4","1"
"192081","QHAvsR8PxYw","1"
"192138","/lqutoJKfY58","1"
"192144","16Gcu5QgiT4","1"
"192327","Please wait. ","1"
"192362","VmJ9Tuk_iUM","1"
"192382","https://www.youtube.com/watch?v=buuNA_zzxfQ","1"
"192488","ZOcBbMipg9s","1"
"192506","s0k2yosrX00","1"
"192606","QPbzNGk7ntk","1"
"192624","HNjFN_fqd_U","1"
"192632","mcW9FNvwxKQ","1"
"192672","r_ekUItOlAI","1"
"192674","k6Lcg5-j2m8","1"
"192684","8kx1Hn8y4kA","1"
"192716","dkJ68NYcCD0","1"
"192720","WCKihpkjP3Y","1"
"192748","rh_EOeINqt4","1"
"192750","4EtMRom7XA","1"
"192797","https://www.youtube.com/watch?v=FiK_IB8tMTE","1"
"192820","y0FRDmEx_LE","1"
"192868","153sA9i_s_U","1"
"192872","https://youtu.be/oUY6VaNVQqI","1"
"192921","kB4uZgUqdnE","1"
"192949","fqI3Y7IAQb8","1"
"193000","BJt4Ed-TKRc","1"
"193002","KK6_ArywBlo","1"
"193009","/0JkBi9GHRhk","1"
"193015","NC5hBwpYuAs","1"
"193019","im5etqvUUcg","1"
"193024","-zR0F2zG4aQ","1"
"193026","YY2c28dJ40c","1"
"193041","My_KTuxegY8","1"
"193110","EXf1C8eHoRI","1"
"193111","-4EtMRom7XA","1"
"193113","6DGS2i92GhU","1"
"193147","c7iEdaHoP-o","1"
"193162","BgRXBbw1Omk","1"
"193204","VomtXpqmh2w","1"
"193228","https://drive.google.com/file/d/12M5DhMjrkbtvANvk2NnFiLM1xSccyY8F/view?usp=sharing","1"
"193283","https://www.youtube.com/watch?v=oUY6VaNVQqI","1"
"193284","https://www.youtube.com/watch?v=oUY6VaNVQqI","1"
"193285","https://www.youtube.com/watch?v=oUY6VaNVQqI","1"
"193311","xzB3KRQhhx8","1"
"193385","RTIQkodCeJM","1"
"193420","MZRze2uBzAc","1"
"193467","EXf7QJ1NyYo","1"
"193535","7ieNO8llwEU","1"
"193558","_k80HfJu6Zk","1"
"193575","BtOaobai1wA","1"
"193580","ef9Y0UhBXTk","1"
"193620","_PoJrIZiJAk","1"
"193625","HmnV8GjSQ74","1"
"193748","xmrFhMDFDzk","1"
"193870","KZIlj4h51DY","1"
"193941","lpblMI5KVhM","1"
"193961","FX2MS3c0CfQ","1"
"193971","P5OcZLRN4W8","1"
"194082","TjpFSh6GdU0","1"
"194101","WrO_7H8At0Q","1"
"194115","https://youtu.be/Q0o1u4w3jxI","1"
"194139","5R23NW7oXAM","1"
"194241","enAEN8BlL_M","1"
"194249","EzbjAtbLOXE","1"
"194269","yTXhWFdGNW4","1"
"194294","EjFwN8T8OCc","1"
"194299","W9LxR7QgLzs","1"
"194319","vBybXsKgVIw","1"
"194331","PggjgvjExQ8","1"
"194355","iWXhxd1xTx4","1"
"194356","fqhp056mOBI","1"
"194400","4Kb2knT2rAU","1"
"194501","Em2dN_4mgW0","1"
"194606","_f9bGnNEt_0","1"
"194627","https://youtu.be/RWwKqfXymiE","1"
"194629","JGqKkigG1XU","1"
"194704","i7uKCwFLkF4","1"
"194806","https://youtu.be/xjk_e9nep2g","1"
"194820","0_3kUFEKen8","1"
"194821","https://youtu.be/U4bR8bTnxTg","1"
"194849","b24HwPkAwdM","1"
"194860","gfuqB0P1jj4","1"
"194889","FLqg1nziLFc","1"
"194954","3FciGojGacc","1"
"194958","b6KRXoY_qh8","1"
"194974","vxU6aW4ccaA","1"
"194979","E1XQIB71XaE","1"
"194990","gLmlf173kiM","1"
"195054","VN9T3ByjB7U","1"
"195069","YHUNx1oHw5Q","1"
"195078","NjFvljyBqBg","1"
"195125","8n3jRP7QiiE","1"
"195138","Bfyqh4bByTA","1"
"195150","/32YTDhYoOK4","1"
"195152","xH2tkKZ7cW8","1"
"195249","Gxh9vUBVcBw","1"
"195292","https://youtu.be/1F0rl1FmJQo ","1"
"195302","OrNgz6BS4Tc","1"
"195333","7HjYNIcP7YM","1"
"195450","BY9W5_8fR20","1"
"195474","PWQrkol1i_M","1"
"195487","LXzhwcfHVSM","1"
"195563","RMhlnI7eg6Q","1"
"195577","2GIEIA3AWm4","1"
"195579","-QgQhkSojIw","1"
"195580","/hrL9a6cfX7c","1"
"195679","EC_R7I_8K0I","1"
"195714","2u9CCPfcvmo","1"
"195779","Vvuubt0wNKo","1"
"195809","c4xCG__uALA","1"
"195830","sHBQYcUppCo","1"
"195891","/GhFbSnvk1Tk","1"
"195905","xkGd0KFg3DY","1"
"195914","GU5ZmTp81_A","1"
"195944","Kmmx8kC-A-g","1"
"195965","bPjLcWB0a5k","1"
"195979","nCrG6-LCVZo","1"
"195983","1FPHGawEf_l","1"
"195985","A7Pe3qzjMRk","1"
"195987","pzMDWT8kewk","1"
"196104","CV6hfGgLj44","1"
"196114","/iTJKAu1HNTI","1"
"196137","eF_mzDhvoPs","1"
"196157","qKXIfaHQh78","1"
"196215","a_gNxW0voAY","1"
"196243","BT8AwNnR34M","1"
"196333","KA5htTOtX-0","1"
"196347","3jwrp4UCmSM","1"
"196387","LvZq-jNKdOc","1"
"196394","watch?v=Da-xGwiK4DM","1"
"196418","bHmOVutttMo","1"
"196526","VPdiWg0ZqvY","1"
"196556","6CXXKfM7Obw","1"
"196605","w3mI3rE8gok","1"
"196626","bvOqVHSFZt8","1"
"196657","4rRW47fdANQ","1"
"196664","nvqDmDL-BIw","1"
"196749","qPNZFRseGv0","1"
"196750","mmc_WmTBXFs","1"
"196775","/2LtdTOPqdFc","1"
"196797","VBI94b9reM8","1"
"196801","PLVVFXZkQ74","1"
"196830","nEsLX_zf82g","1"
"196883","OnlKmDZ3an0","1"
"196894","UL9IP6iVrsc","1"
"196915","be/nSL-J-jd3YA","1"
"196928","https://youtu.be/IRKpkX9N698","1"
"197006","q-sCNxSmJ-E","1"
"197020","8vhU2H3ehFQ","1"
"197042","jQBRR1_9VYo","1"
"197044","5tMh-y9M6A4","1"
"197065","wRmqXB3VPl8","1"
"197066","hFIzTDhjpxw","1"
"197078","NRxhs7uoty8","1"
"197153","yS1EaSUuiwo","1"
"197157","NZo-TXiRC34","1"
"197176","8buTHEYXEx0","1"
"197200","mL8Ac-c0tHk","1"
"197256","_PvcNO_X6Rw","1"
"197267","ICicaUGzy3c","1"
"197274","gico4suOnlM","1"
"197280","8buTHEYXEx0","1"
"197342","Uq6JAUdhExA","1"
"197348","Umaq8z4fbuQ","1"
"197359","doupsiNHeUM","1"
"197460","QqS_X4K7CM8","1"
"197479","lh7NwhJ7Ngw","1"
"197485","HCokCTCRIo4","1"
"197501","-Q2e4VnXM4w","1"
"197510","Y53CPrVlg24","1"
"197537","3z9i2yvxwYc","1"
"197543","2F7V1Lquuow","1"
"197550","wtK7Qs83CCc","1"
"197597","https://youtu.be/pYMUq8DPXk","1"
"197604","yqspNCFdj5g","1"
"197625","UZ01QCdMcQ0","1"
"197629","4rqU6cT4lY8","1"
"197733","c62hVBCnmQI","1"
"197762","brj5AOJZa0c","1"
"197803","OJEA45raCBk","1"
"197820","m181r06AKeQ","1"
"197860","W3reMNFQwbw","1"
"197887","KYu0lfI-TTU","1"
"197889","S-p_ryYKykY","1"
"197908","uYEJTofIBrY","1"
